GEOID,State Code (FIPS),County Code (FIPS),County,SOCIAL,ECONOM,HOUSING/INFRA,COMM CAPITAL,INSTITUTIONAL,ENVIRONMENT,TOT RESIL2020
17101,17,101,Lawrence,0.613185305,0.470370307,0.249062262,0.342854486,0.387727092,0.534781227,2.597980679
17103,17,103,Lee,0.657547284,0.502584333,0.277571589,0.392658567,0.384926896,0.520849992,2.736138661
17105,17,105,Livingston,0.6362912,0.491105118,0.283927157,0.40720701,0.423995257,0.533944636,2.776470378
17107,17,107,Logan,0.647173308,0.489160314,0.289760701,0.40565638,0.399762883,0.508448055,2.739961641
17109,17,109,McDonough,0.642438448,0.473471857,0.289689678,0.370159563,0.370677061,0.524707411,2.671144017
17111,17,111,McHenry,0.684491189,0.525965261,0.286859486,0.358727728,0.383230157,0.509316922,2.748590742
17113,17,113,McLean,0.692216227,0.531009626,0.294363331,0.368150169,0.424003613,0.506369534,2.816112499
17115,17,115,Macon,0.640103129,0.523399386,0.31281197,0.390322673,0.407051654,0.494711633,2.768400445
17117,17,117,Macoupin,0.626741689,0.473527001,0.274120862,0.408523772,0.390188135,0.512280102,2.685381561
17119,17,119,Madison,0.657658071,0.521772879,0.311503546,0.369359167,0.406818271,0.491434984,2.758546919
17121,17,121,Marion,0.619939052,0.484997766,0.262297289,0.416196356,0.497129914,0.521869829,2.802430207
17123,17,123,Marshall,0.632871954,0.469568048,0.278636639,0.411836814,0.41411911,0.541552159,2.748584724
17125,17,125,Mason,0.607318465,0.443930037,0.271372507,0.406724159,0.387781917,0.534188523,2.651315608
17127,17,127,Massac,0.620645009,0.48717333,0.225310855,0.318415812,0.357409153,0.529858879,2.538813038
17129,17,129,Menard,0.657580683,0.468296502,0.262367673,0.402005117,0.417459363,0.510544918,2.718254256
17131,17,131,Mercer,0.639419812,0.482686503,0.278313217,0.380732154,0.414484604,0.530745584,2.726381874
17133,17,133,Monroe,0.699207025,0.512734417,0.267046567,0.364290103,0.455391024,0.523574199,2.822243336
17135,17,135,Montgomery,0.622077344,0.453028992,0.28104495,0.399374594,0.389056892,0.526217738,2.67080051
17137,17,137,Morgan,0.623336753,0.496796015,0.277556345,0.390828259,0.400863136,0.516126699,2.705507207
17139,17,139,Moultrie,0.607538606,0.49897607,0.267124979,0.398129382,0.406746943,0.534325571,2.71284155
17141,17,141,Ogle,0.646870655,0.503183854,0.272018644,0.389091732,0.424490133,0.521805237,2.757460256
17143,17,143,Peoria,0.651541512,0.537866872,0.325019953,0.372246697,0.40015256,0.506691971,2.793519565
17145,17,145,Perry,0.609343419,0.454565371,0.249366548,0.443537249,0.375543665,0.535540303,2.667896555
17147,17,147,Piatt,0.675512437,0.485365885,0.280711457,0.412020963,0.402880352,0.512537997,2.769029091
17149,17,149,Pike,0.611608616,0.444322542,0.268084147,0.372659572,0.381379973,0.535185275,2.613240125
